iCase,Fr,beta,Cd,alpha_simple,alpha_SRH_2D,bConverged_simple,bConverged_SRH_2D
277.00,0.25,0.75,62.22,0.96,0.95,1.00,1.00
278.00,0.25,0.75,71.11,0.96,0.95,1.00,1.00
279.00,0.25,0.75,80.00,0.96,0.95,1.00,1.00
280.00,0.25,0.85,0.00,0.85,0.85,1.00,1.00
281.00,0.25,0.85,8.89,0.95,0.94,1.00,1.00
282.00,0.25,0.85,17.78,0.96,0.95,1.00,1.00
283.00,0.25,0.85,26.67,0.97,0.96,1.00,1.00
284.00,0.25,0.85,35.56,0.97,0.97,1.00,1.00
285.00,0.25,0.85,44.44,0.97,0.97,1.00,1.00
286.00,0.25,0.85,53.33,0.98,0.97,1.00,1.00
287.00,0.25,0.85,62.22,0.98,0.97,1.00,1.00
288.00,0.25,0.85,71.11,0.98,0.97,1.00,1.00
289.00,0.25,0.85,80.00,0.98,0.98,1.00,1.00
290.00,0.25,0.95,0.00,0.95,0.95,1.00,1.00
291.00,0.25,0.95,8.89,0.98,0.98,1.00,1.00
292.00,0.25,0.95,17.78,0.99,0.99,1.00,1.00
293.00,0.25,0.95,26.67,0.99,0.99,1.00,1.00
294.00,0.25,0.95,35.56,0.99,0.99,1.00,1.00
295.00,0.25,0.95,44.44,0.99,0.99,1.00,1.00
296.00,0.25,0.95,53.33,0.99,0.99,1.00,1.00
297.00,0.25,0.95,62.22,0.99,0.99,1.00,1.00
298.00,0.25,0.95,71.11,0.99,0.99,1.00,1.00
299.00,0.25,0.95,80.00,0.99,0.99,1.00,1.00
300.00,0.35,0.05,0.00,0.05,0.05,1.00,1.00
301.00,0.35,0.05,8.89,0.09,0.10,1.00,1.00
302.00,0.35,0.05,17.78,0.10,0.13,1.00,1.00
303.00,0.35,0.05,26.67,0.12,0.15,1.00,1.00
304.00,0.35,0.05,35.56,0.13,0.16,1.00,1.00
305.00,0.35,0.05,44.44,0.15,0.18,1.00,1.00
306.00,0.35,0.05,53.33,0.16,0.19,1.00,1.00
307.00,0.35,0.05,62.22,0.18,0.20,1.00,1.00
308.00,0.35,0.05,71.11,0.19,0.21,1.00,1.00
309.00,0.35,0.05,80.00,0.20,0.22,1.00,1.00
310.00,0.35,0.15,0.00,0.15,0.15,1.00,1.00
311.00,0.35,0.15,8.89,0.29,0.29,1.00,1.00
312.00,0.35,0.15,17.78,0.36,0.34,1.00,1.00
313.00,0.35,0.15,26.67,0.41,0.38,1.00,1.00
314.00,0.35,0.15,35.56,0.46,0.41,1.00,1.00
315.00,0.35,0.15,44.44,0.49,0.43,1.00,1.00
316.00,0.35,0.15,53.33,0.53,0.45,1.00,1.00
317.00,0.35,0.15,62.22,0.55,0.46,1.00,1.00
318.00,0.35,0.15,71.11,0.58,0.48,1.00,1.00
319.00,0.35,0.15,80.00,0.60,0.49,1.00,1.00
320.00,0.35,0.25,0.00,0.25,0.25,1.00,1.00
321.00,0.35,0.25,8.89,0.47,0.43,1.00,1.00
322.00,0.35,0.25,17.78,0.56,0.50,1.00,1.00
